case,timestamp,AV_sp,challenger_sp,v_final,delta_v_AV,delta_v_challenger
980188,12.2,14.1757654867552,26.615641791067,21.5097745375847,7.3340090508295,-5.10586725348225
980112,10.2,14.2514147677804,3.11724075478892,7.15312532416108,-7.09828944361937,4.03588456937216
980054,14.4,3.41623247888919,20.0062508500268,12.1246467226594,8.70841424377024,-7.88160412736734
980039,13.8,21.8965689992623,26.5447357853155,23.8482135560376,1.95164455677529,-2.69652222927786
1216,10.5,13.3587945339458,3.11724075478892,8.07168150410263,-5.28711302984316,4.95444074931371
1098,45.6,1.91621685272548,10.7230571908534,5.70139178315295,3.78517493042746,-5.02166540770043
1089,13.9,12.1994949739166,18.2143343515977,15.3007690085419,3.10127403462527,-2.91356534305585
1034,45.5,1.94929943250027,25.7230571908534,12.9548726443238,11.0055732118235,-12.7681845465296
748,14.4,16.6376347540074,24.5785055013759,21.8472031918311,5.20956843782376,-2.73130230954474
972,10.7,21.8679647592996,0,2.95144540138717,-18.9165193579124,2.95144540138717
